eventtype_detailed;count
Flood;1832
Extreme wind;868
Flood,Landslide;550
Earthquake;326
Landslide;284
Extreme wind,Flood;277
Coldwave;179
Extreme wind,Flood,Landslide;160
Drought;153
Heatwave;87
Volcanic activity;77
Earthquake,Landslide;70
Coldwave,Extreme wind;36
Extreme wind,Landslide;35
Drought,Heatwave;23
Tsunami,Tsunami;16
Earthquake,Tsunami;8
Tsunami;8
Earthquake,Landslide,Tsunami;7
Landslide,Landslide;5
Flood,Flood;4
Flood,Flood,Landslide;4
Landslide,Volcanic activity;3
Coldwave,Flood;3
Coldwave,Extreme wind,Landslide;3
Landslide,Tsunami,Tsunami;2
Coldwave,Drought;2
Coldwave,Flood,Landslide;2
Flood,Tsunami;2
Flood,Volcanic activity;2
Extreme wind,Flood,Tsunami;2
Flood,Landslide,Landslide;2
Earthquake,Flood,Landslide;1
Landslide,Tsunami;1
Earthquake,Volcanic activity;1
